outcome,week_end,age_group,unvaccinated_rate,vaccinated_rate,boosted_rate,crude_vaccinated_ratio,crude_boosted_ratio,population_unvaccinated,population_vaccinated,population_boosted,outcome_unvaccinated,outcome_vaccinated,outcome_boosted,age_group_min,age_group_max
Cases,2023-09-16,30-49,44.0,29.1,34.3,1.5,1.3,106807,278395.0,347325.0,47,81.0,119.0,30,49
Deaths,2023-06-03,18-29,0.0,0.0,0.0,0.0,0.0,74734,214134.0,161695.0,0,0.0,0.0,18,29
Hospitalizations,2022-01-22,80+,279.3,286.1,69.2,1.0,4.0,27573,17479.0,39032.0,77,50.0,27.0,80,200
Hospitalizations,2021-04-10,All,17.6,3.0,0.0,5.9,0.0,1707958,396727.0,0.0,300,12.0,0.0,999,999
Hospitalizations,2023-07-01,50-64,9.2,0.0,0.4,0.0,23.0,32676,125733.0,246928.0,3,0.0,1.0,50,64
Hospitalizations,2022-05-28,50-64,20.9,10.6,8.9,2.0,2.3,42974,132464.0,236190.0,9,14.0,21.0,50,64
Cases,2022-11-05,50-64,333.4,90.2,124.9,3.7,2.7,36895,125268.0,246677.0,123,113.0,308.0,50,64
Deaths,2022-01-15,30-49,7.8,0.3,0.0,26.0,0.0,154759,346990.0,239415.0,12,1.0,0.0,30,49
Deaths,2023-07-29,30-49,0.0,0.0,0.0,0.0,0.0,107515,278402.0,347313.0,0,0.0,0.0,30,49
Deaths,2023-04-22,30-49,0.0,0.0,0.0,0.0,0.0,109408,278312.0,347288.0,0,0.0,0.0,30,49
Hospitalizations,2022-01-01,80+,365.2,444.6,106.9,0.8,3.4,27932,20693.0,35560.0,102,92.0,38.0,80,200
Deaths,2022-03-19,All,0.6,0.3,0.0,2.0,0.0,662148,905646.0,919703.0,4,3.0,0.0,999,999
Hospitalizations,2021-08-28,50-64,62.7,6.8,0.0,9.2,0.0,89285,322178.0,0.0,56,22.0,0.0,50,64
Deaths,2022-01-08,All,14.4,5.8,2.2,2.5,6.5,771844,1058475.0,641998.0,111,61.0,14.0,999,999
Cases,2022-08-20,80+,171.5,267.6,222.4,0.6,0.8,26236,11583.0,46759.0,45,31.0,104.0,80,200
Cases,2021-06-26,18-29,18.8,4.7,0.0,4.0,0.0,228136,254744.0,0.0,43,12.0,0.0,18,29
Cases,2023-04-15,50-64,102.0,41.4,63.2,2.5,1.6,33349,125709.0,246898.0,34,52.0,156.0,50,64
Cases,2021-10-23,50-64,192.9,47.7,30.3,4.0,6.4,74137,326932.0,13200.0,143,156.0,4.0,50,64
Cases,2021-11-20,All,272.4,114.4,25.3,2.4,10.8,893891,1383374.0,221328.0,2435,1582.0,56.0,999,999
Hospitalizations,2022-05-14,80+,74.7,84.5,42.6,0.9,1.8,26763,13025.0,44628.0,20,11.0,19.0,80,200
Cases,2021-11-06,65-79,123.9,58.1,16.7,2.1,7.4,58116,160017.0,41816.0,72,93.0,7.0,65,79
Cases,2022-05-14,65-79,229.8,157.7,227.6,1.5,1.0,47442,48816.0,163445.0,109,77.0,372.0,65,79
Deaths,2022-08-06,All,0.7,0.2,0.2,3.5,3.5,614334,850591.0,1014163.0,4,2.0,2.0,999,999
Hospitalizations,2022-05-14,30-49,10.8,4.9,3.9,2.2,2.8,130179,285512.0,332845.0,14,14.0,13.0,30,49
Cases,2021-11-20,65-79,175.6,83.8,8.6,2.1,20.4,56364,133667.0,69658.0,99,112.0,6.0,65,79
Hospitalizations,2022-12-17,50-64,36.9,10.4,13.0,3.5,2.8,35269,125391.0,246772.0,13,13.0,32.0,50,64
Cases,2023-10-07,30-49,41.0,18.7,23.6,2.2,1.7,104936,278564.0,347458.0,43,52.0,82.0,30,49
Hospitalizations,2022-01-08,50-64,355.8,76.7,32.3,4.6,11.0,54811,194317.0,160841.0,195,149.0,52.0,50,64
Cases,2022-04-23,18-29,236.2,109.8,286.1,2.2,0.8,97360,218531.0,149251.0,230,240.0,427.0,18,29
Cases,2023-03-04,50-64,192.4,65.3,95.6,2.9,2.0,33780,125603.0,246874.0,65,82.0,236.0,50,64
Cases,2022-02-19,18-29,191.1,45.7,78.8,4.2,2.4,103609,221200.0,133301.0,198,101.0,105.0,18,29
Deaths,2021-05-01,30-49,1.9,0.0,0.0,0.0,0.0,365119,238588.0,0.0,7,0.0,0.0,30,49
Deaths,2022-07-23,All,0.5,0.7,0.4,0.7,1.2,620290,856799.0,1004817.0,3,6.0,4.0,999,999
Cases,2022-12-31,80+,185.3,387.1,299.3,0.5,0.6,24824,11367.0,47117.0,46,44.0,141.0,80,200
Cases,2022-01-01,50-64,3677.7,1686.1,1009.6,2.2,3.6,56937,206986.0,147279.0,2094,3490.0,1487.0,50,64
Cases,2022-07-30,18-29,371.1,145.9,228.2,2.5,1.6,92439,213184.0,158188.0,343,311.0,361.0,18,29
Deaths,2022-01-08,80+,136.6,108.8,24.3,1.3,5.6,27814,19309.0,37045.0,38,21.0,9.0,80,200
Cases,2021-10-09,50-64,193.6,52.8,0.0,3.7,0.0,77460,331279.0,0.0,150,175.0,0.0,50,64
Deaths,2022-07-16,30-49,0.0,0.0,0.0,0.0,0.0,127190,279873.0,341011.0,0,0.0,0.0,30,49
Deaths,2022-07-02,18-29,0.0,0.0,0.0,0.0,0.0,93769,214617.0,155854.0,0,0.0,0.0,18,29
Hospitalizations,2022-07-23,30-49,18.1,4.7,5.0,3.9,3.6,126870,279406.0,341686.0,23,13.0,17.0,30,49
Deaths,2022-11-05,18-29,0.0,0.0,0.0,0.0,0.0,83590,212234.0,161534.0,0,0.0,0.0,18,29
Cases,2022-06-18,18-29,273.5,120.8,237.8,2.3,1.2,94340,215224.0,154755.0,258,260.0,368.0,18,29
Deaths,2023-09-30,All,0.2,0.2,0.3,1.0,0.7,524196,860280.0,1040855.0,1,2.0,3.0,999,999
Hospitalizations,2022-12-31,18-29,6.3,4.2,0.6,1.5,10.5,79293,212935.0,161619.0,5,9.0,1.0,18,29
Hospitalizations,2022-07-16,50-64,31.3,10.9,10.8,2.9,2.9,41521,128806.0,241470.0,13,14.0,26.0,50,64
Cases,2023-04-15,All,63.0,34.0,53.4,1.9,1.2,539653,859628.0,1040581.0,340,292.0,556.0,999,999
Deaths,2022-10-08,65-79,2.3,2.3,0.6,1.0,3.8,43949,43409.0,171395.0,1,1.0,1.0,65,79
Cases,2021-08-21,80+,53.5,51.0,0.0,1.0,0.0,31765,52936.0,0.0,17,27.0,0.0,80,200
Hospitalizations,2021-08-07,65-79,32.1,4.1,0.0,7.8,0.0,68485,192863.0,0.0,22,8.0,0.0,65,79
Hospitalizations,2022-07-09,All,12.1,7.2,10.9,1.7,1.1,627781,862137.0,997177.0,76,62.0,109.0,999,999
Deaths,2023-03-04,80+,4.1,8.8,4.2,0.5,1.0,24686,11377.0,47125.0,1,1.0,2.0,80,200
Hospitalizations,2023-04-22,50-64,21.0,0.8,4.1,26.2,5.1,33280,125718.0,246902.0,7,1.0,10.0,50,64
Cases,2021-12-04,50-64,671.0,183.7,34.2,3.7,19.6,64234,270486.0,79047.0,431,497.0,27.0,50,64
Hospitalizations,2022-07-09,65-79,34.5,19.6,25.6,1.8,1.3,46385,45832.0,167927.0,16,9.0,43.0,65,79
Hospitalizations,2021-07-24,18-29,7.4,0.4,0.0,18.5,0.0,215115,275913.0,0.0,16,1.0,0.0,18,29
Cases,2022-05-14,80+,130.8,153.6,246.5,0.9,0.5,26763,13025.0,44628.0,35,20.0,110.0,80,200
Deaths,2023-01-07,80+,12.1,8.8,6.4,1.4,1.9,24805,11369.0,47117.0,3,1.0,3.0,80,200
Hospitalizations,2022-10-01,18-29,4.5,1.9,0.6,2.4,7.5,88079,211686.0,161454.0,4,4.0,1.0,18,29
Hospitalizations,2023-06-17,80+,8.2,0.0,4.2,0.0,2.0,24516,11383.0,47130.0,2,0.0,2.0,80,200
Cases,2021-08-28,50-64,272.2,65.8,0.0,4.1,0.0,89285,322178.0,0.0,243,212.0,0.0,50,64
Hospitalizations,2022-09-10,65-79,30.8,23.0,15.8,1.3,1.9,45457,43539.0,171141.0,14,10.0,27.0,65,79
Cases,2023-06-03,All,20.0,8.5,17.1,2.4,1.2,534701,860357.0,1040674.0,107,73.0,178.0,999,999
Deaths,2022-02-26,65-79,6.1,7.3,0.6,0.8,10.2,49070,54948.0,154842.0,3,4.0,1.0,65,79
Cases,2023-04-08,All,52.2,25.5,48.3,2.0,1.1,540406,859347.0,1040563.0,282,219.0,503.0,999,999
Hospitalizations,2022-12-31,30-49,17.7,4.7,3.2,3.8,5.5,113126,277262.0,347197.0,20,13.0,11.0,30,49
Deaths,2023-07-15,30-49,0.9,0.0,0.0,0.0,0.0,107746,278401.0,347311.0,1,0.0,0.0,30,49
Hospitalizations,2022-01-15,80+,462.4,426.1,94.4,1.1,4.9,27679,18306.0,38129.0,128,78.0,36.0,80,200
Deaths,2021-07-17,18-29,0.0,0.0,0.0,0.0,0.0,218646,272102.0,0.0,0,0.0,0.0,18,29
Hospitalizations,2022-11-12,80+,83.5,61.6,51.0,1.4,1.6,25162,11369.0,47090.0,21,7.0,24.0,80,200
Cases,2022-12-31,65-79,194.3,191.4,175.9,1.0,1.1,40666,43359.0,171676.0,79,83.0,302.0,65,79
Deaths,2022-10-01,18-29,1.1,0.0,0.0,0.0,0.0,88079,211686.0,161454.0,1,0.0,0.0,18,29
Cases,2023-01-14,30-49,144.2,69.9,80.1,2.1,1.8,112361,277385.0,347213.0,162,194.0,278.0,30,49
Hospitalizations,2021-09-11,18-29,12.4,0.3,0.0,41.3,0.0,185405,298401.0,0.0,23,1.0,0.0,18,29
Cases,2022-09-03,65-79,177.7,139.4,149.8,1.3,1.2,45582,43748.0,170866.0,81,61.0,256.0,65,79
Deaths,2023-11-04,30-49,0.0,0.0,0.0,0.0,0.0,101766,279203.0,348427.0,0,0.0,0.0,30,49
Cases,2022-12-17,50-64,476.3,153.1,213.6,3.1,2.2,35269,125391.0,246772.0,168,192.0,527.0,50,64
Hospitalizations,2023-07-08,All,1.3,0.8,0.8,1.6,1.6,531904,860327.0,1040745.0,7,7.0,8.0,999,999
Cases,2023-01-28,80+,68.7,123.1,123.1,0.6,0.6,24736,11376.0,47117.0,17,14.0,58.0,80,200
Cases,2023-01-07,All,125.7,66.8,114.2,1.9,1.1,553739,854331.0,1040190.0,696,571.0,1188.0,999,999
Hospitalizations,2023-04-01,30-49,13.6,2.2,2.3,6.2,5.9,109912,278121.0,347279.0,15,6.0,8.0,30,49
Hospitalizations,2021-05-08,18-29,9.1,0.8,0.0,11.4,0.0,274095,132496.0,0.0,25,1.0,0.0,18,29
Cases,2021-09-25,50-64,182.8,50.5,0.0,3.6,0.0,80946,328443.0,0.0,148,166.0,0.0,50,64
Deaths,2022-04-23,80+,0.0,0.0,0.0,0.0,0.0,26906,13471.0,43906.0,0,0.0,0.0,80,200
Cases,2023-06-10,80+,12.2,17.6,14.9,0.7,0.8,24522,11383.0,47130.0,3,2.0,7.0,80,200
Deaths,2021-12-04,80+,24.5,10.1,0.0,2.4,0.0,28623,29758.0,25961.0,7,3.0,0.0,80,200
Cases,2022-03-26,All,58.8,44.6,81.6,1.3,0.7,659972,904268.0,925908.0,388,403.0,756.0,999,999
Hospitalizations,2023-11-18,50-64,33.3,3.2,6.0,10.4,5.6,29998,125698.0,247977.0,10,4.0,15.0,50,64
Deaths,2022-07-16,All,1.0,0.1,0.5,10.0,2.0,623694,859285.0,1001233.0,6,1.0,5.0,999,999
Deaths,2022-12-17,30-49,0.0,0.0,0.0,0.0,0.0,113869,277097.0,347151.0,0,0.0,0.0,30,49
Deaths,2022-10-08,All,0.9,0.4,0.3,2.2,3.0,588205,843467.0,1037728.0,5,3.0,3.0,999,999
Hospitalizations,2022-04-16,All,3.5,2.2,3.6,1.6,1.0,653769,896402.0,943061.0,23,20.0,34.0,999,999
Cases,2022-01-15,65-79,1116.3,875.7,528.4,1.3,2.1,50970,69775.0,137780.0,569,611.0,728.0,65,79
Cases,2023-04-29,All,52.0,22.8,36.6,2.3,1.4,538163,860165.0,1040623.0,280,196.0,381.0,999,999
Hospitalizations,2023-06-03,65-79,7.6,4.6,6.4,1.7,1.2,39483,43434.0,171732.0,3,2.0,11.0,65,79
Deaths,2023-09-30,50-64,0.0,0.0,0.8,0.0,0.0,31939,125717.0,246950.0,0,0.0,2.0,50,64
Deaths,2021-06-05,All,2.6,0.2,0.0,13.0,0.0,1279034,1158544.0,0.0,33,2.0,0.0,999,999
Cases,2022-02-05,80+,98.6,243.6,105.7,0.4,0.9,27390,16013.0,40692.0,27,39.0,43.0,80,200
Deaths,2022-05-21,18-29,0.0,0.0,0.0,0.0,0.0,95759,216738.0,152215.0,0,0.0,0.0,18,29
