outcome,week_end,age_group,unvaccinated_rate,vaccinated_rate,boosted_rate,crude_vaccinated_ratio,crude_boosted_ratio,population_unvaccinated,population_vaccinated,population_boosted,outcome_unvaccinated,outcome_vaccinated,outcome_boosted,age_group_min,age_group_max
Hospitalizations,2023-08-26,50-64,12.4,5.6,2.8,2.2,4.4,32353,125723.0,246939.0,4,7.0,7.0,50,64
Cases,2023-05-06,All,47.6,21.0,32.7,2.3,1.5,537432,860338.0,1040639.0,256,181.0,340.0,999,999
Deaths,2022-12-31,30-49,0.0,0.0,0.0,0.0,0.0,113126,277262.0,347197.0,0,0.0,0.0,30,49
Deaths,2023-09-16,30-49,0.0,0.0,0.0,0.0,0.0,106807,278395.0,347325.0,0,0.0,0.0,30,49
Cases,2022-04-30,18-29,304.2,119.3,295.2,2.5,1.0,96979,218010.0,150062.0,295,260.0,443.0,18,29
Cases,2021-06-05,All,35.9,5.4,0.0,6.6,0.0,1279034,1158544.0,0.0,459,62.0,0.0,999,999
Cases,2021-04-17,All,226.5,24.2,0.0,9.4,0.0,1616421,475163.0,0.0,3661,115.0,0.0,999,999
Cases,2021-07-24,80+,30.5,15.4,0.0,2.0,0.0,32759,52117.0,0.0,10,8.0,0.0,80,200
Cases,2022-03-12,65-79,45.1,24.4,32.5,1.8,1.4,48822,53213.0,157042.0,22,13.0,51.0,65,79
Deaths,2023-03-11,80+,4.1,0.0,0.0,0.0,0.0,24673,11378.0,47126.0,1,0.0,0.0,80,200
Cases,2022-12-24,30-49,234.4,114.0,147.5,2.1,1.6,113497,277193.0,347177.0,266,316.0,512.0,30,49
Cases,2023-09-23,65-79,105.1,66.8,58.8,1.6,1.8,39028,43414.0,171758.0,41,29.0,101.0,65,79
Hospitalizations,2022-05-14,50-64,18.4,9.0,4.7,2.0,3.9,43533,133809.0,234246.0,8,12.0,11.0,50,64
Cases,2023-11-25,30-49,79.3,31.9,33.8,2.5,2.3,99562,279385.0,349175.0,79,89.0,118.0,30,49
Deaths,2022-12-31,50-64,0.0,0.8,0.4,0.0,0.0,34879,125419.0,246812.0,0,1.0,1.0,50,64
Cases,2022-08-06,80+,155.9,213.0,244.9,0.7,0.6,26292,11735.0,46545.0,41,25.0,114.0,80,200
Deaths,2021-10-23,All,2.0,0.6,0.0,3.3,0.0,978761,1496643.0,68441.0,20,9.0,0.0,999,999
Hospitalizations,2023-08-19,65-79,17.9,9.2,8.7,1.9,2.1,39214,43417.0,171752.0,7,4.0,15.0,65,79
Deaths,2021-12-04,All,3.7,0.5,0.0,7.4,0.0,864337,1287028.0,333146.0,32,6.0,0.0,999,999
Hospitalizations,2021-05-29,All,11.6,1.3,0.0,8.9,0.0,1302037,1094752.0,0.0,151,14.0,0.0,999,999
Cases,2022-03-26,80+,7.4,21.3,30.2,0.3,0.2,27071,14053.0,43109.0,2,3.0,13.0,80,200
Hospitalizations,2021-10-16,18-29,7.6,0.0,0.0,0.0,0.0,170186,312457.0,0.0,13,0.0,0.0,18,29
Deaths,2022-07-09,18-29,0.0,0.0,0.0,0.0,0.0,93482,214304.0,156355.0,0,0.0,0.0,18,29
Cases,2022-08-13,50-64,469.6,144.4,212.4,3.3,2.2,40677,126700.0,244360.0,191,183.0,519.0,50,64
Cases,2023-07-15,65-79,28.0,16.1,12.8,1.7,2.2,39336,43424.0,171745.0,11,7.0,22.0,65,79
Hospitalizations,2023-09-02,80+,12.3,52.7,36.1,0.2,0.3,24460,11380.0,47133.0,3,6.0,17.0,80,200
Cases,2023-08-26,18-29,87.2,29.9,25.4,2.9,3.4,73401,214130.0,161720.0,64,64.0,41.0,18,29
Hospitalizations,2022-01-15,65-79,311.9,170.5,42.1,1.8,7.4,50970,69775.0,137780.0,159,119.0,58.0,65,79
Cases,2022-12-03,18-29,303.7,94.5,110.2,3.2,2.8,81009,212601.0,161582.0,246,201.0,178.0,18,29
Deaths,2023-09-02,80+,0.0,0.0,2.1,0.0,0.0,24460,11380.0,47133.0,0,0.0,1.0,80,200
Hospitalizations,2022-03-12,65-79,14.3,9.4,3.8,1.5,3.8,48822,53213.0,157042.0,7,5.0,6.0,65,79
Hospitalizations,2021-09-25,30-49,22.0,1.1,0.0,20.0,0.0,223214,528608.0,0.0,49,6.0,0.0,30,49
Hospitalizations,2023-11-04,All,5.5,2.3,4.5,2.4,1.2,512405,862552.0,1044756.0,28,20.0,47.0,999,999
Deaths,2021-12-11,50-64,17.6,1.2,1.1,14.7,16.0,62340,258308.0,92192.0,11,3.0,1.0,50,64
Hospitalizations,2021-05-01,30-49,25.7,0.8,0.0,32.1,0.0,365119,238588.0,0.0,94,2.0,0.0,30,49
Hospitalizations,2022-08-06,50-64,31.8,11.8,9.0,2.7,3.5,40870,127180.0,243708.0,13,15.0,22.0,50,64
Cases,2022-09-24,50-64,266.4,61.5,105.5,4.3,2.5,39417,125139.0,246539.0,105,77.0,260.0,50,64
Deaths,2022-01-29,50-64,40.2,4.8,2.1,8.4,19.1,49696,165132.0,193153.0,20,8.0,4.0,50,64
Cases,2022-02-26,80+,66.2,47.2,14.2,1.4,4.7,27200,14818.0,42125.0,18,7.0,6.0,80,200
Cases,2022-05-07,65-79,184.8,103.5,186.8,1.8,1.0,47611,49260.0,162746.0,88,51.0,304.0,65,79
Hospitalizations,2021-05-15,30-49,22.7,0.9,0.0,25.2,0.0,338871,332283.0,0.0,77,3.0,0.0,30,49
Hospitalizations,2022-09-03,30-49,9.6,5.1,3.2,1.9,3.0,125170,276368.0,345994.0,12,14.0,11.0,30,49
Deaths,2022-12-24,65-79,4.9,0.0,1.2,0.0,4.1,40797,43362.0,171663.0,2,0.0,2.0,65,79
Hospitalizations,2023-07-22,30-49,1.9,0.4,0.3,4.8,6.3,107614,278401.0,347312.0,2,1.0,1.0,30,49
Hospitalizations,2021-11-20,80+,58.6,67.8,16.3,0.9,3.6,29022,36868.0,18401.0,17,25.0,3.0,80,200
Hospitalizations,2023-05-20,50-64,12.1,0.8,2.8,15.1,4.3,32964,125743.0,246910.0,4,1.0,7.0,50,64
Deaths,2021-12-04,18-29,0.7,0.0,0.0,0.0,0.0,151690,300768.0,31036.0,1,0.0,0.0,18,29
Cases,2021-09-04,18-29,260.4,92.6,0.0,2.8,0.0,188921,294893.0,0.0,492,273.0,0.0,18,29
Cases,2022-09-03,18-29,210.1,86.9,128.7,2.4,1.6,90904,211667.0,160838.0,191,184.0,207.0,18,29
Deaths,2021-09-18,18-29,1.1,0.0,0.0,0.0,0.0,181678,301822.0,0.0,2,0.0,0.0,18,29
Cases,2022-07-16,30-49,365.6,167.9,294.4,2.2,1.2,127190,279873.0,341011.0,465,470.0,1004.0,30,49
Cases,2023-08-26,80+,40.9,87.9,95.5,0.5,0.4,24464,11380.0,47133.0,10,10.0,45.0,80,200
Hospitalizations,2021-04-03,65-79,42.5,4.3,0.0,9.9,0.0,105935,91962.0,0.0,45,4.0,0.0,65,79
Hospitalizations,2023-11-04,30-49,4.9,1.4,1.7,3.5,2.9,101766,279203.0,348427.0,5,4.0,6.0,30,49
Hospitalizations,2021-09-18,65-79,42.3,9.3,0.0,4.5,0.0,63900,193739.0,0.0,27,18.0,0.0,65,79
Deaths,2021-09-11,All,2.1,0.5,0.0,4.2,0.0,1046939,1475716.0,0.0,22,8.0,0.0,999,999
Hospitalizations,2021-06-05,80+,17.4,4.1,0.0,4.2,0.0,34448,49247.0,0.0,6,2.0,0.0,80,200
Hospitalizations,2022-01-22,30-49,52.1,12.6,7.8,4.1,6.7,149571,332274.0,256937.0,78,42.0,20.0,30,49
Deaths,2022-04-30,All,0.2,0.2,0.0,1.0,0.0,650306,891088.0,952817.0,1,2.0,0.0,999,999
Hospitalizations,2023-09-09,80+,12.3,17.6,46.7,0.7,0.3,24452,11380.0,47133.0,3,2.0,22.0,80,200
Deaths,2022-11-26,50-64,0.0,0.0,0.0,0.0,0.0,36067,125335.0,246724.0,0,0.0,0.0,50,64
Cases,2022-01-15,50-64,2103.6,799.1,640.1,2.6,3.3,52767,184203.0,171854.0,1110,1472.0,1100.0,50,64
Deaths,2023-01-07,65-79,0.0,0.0,1.2,0.0,0.0,40561,43362.0,171679.0,0,0.0,2.0,65,79
Cases,2021-07-03,50-64,20.2,2.0,0.0,10.1,0.0,109144,300501.0,0.0,22,6.0,0.0,50,64
Deaths,2022-04-02,30-49,0.0,0.0,0.0,0.0,0.0,132699,290611.0,324980.0,0,0.0,0.0,30,49
Hospitalizations,2021-10-02,65-79,45.0,9.8,0.0,4.6,0.0,62283,193295.0,0.0,28,19.0,0.0,65,79
Cases,2023-07-29,All,23.0,15.0,23.4,1.5,1.0,530107,860315.0,1040772.0,122,129.0,244.0,999,999
Hospitalizations,2022-08-06,18-29,14.1,4.7,2.5,3.0,5.6,92082,212811.0,158786.0,13,10.0,4.0,18,29
Hospitalizations,2021-07-24,65-79,12.8,2.1,0.0,6.1,0.0,70306,191132.0,0.0,9,4.0,0.0,65,79
Hospitalizations,2022-11-12,65-79,40.4,30.0,21.0,1.3,1.9,42041,43328.0,171584.0,17,13.0,36.0,65,79
Deaths,2021-05-15,80+,16.8,0.0,0.0,0.0,0.0,35729,45820.0,0.0,6,0.0,0.0,80,200
Deaths,2023-08-26,30-49,0.0,0.0,0.0,0.0,0.0,107080,278396.0,347321.0,0,0.0,0.0,30,49
Deaths,2023-07-29,18-29,0.0,0.0,0.0,0.0,0.0,73789,214134.0,161712.0,0,0.0,0.0,18,29
Cases,2022-10-01,18-29,137.4,35.4,60.7,3.9,2.3,88079,211686.0,161454.0,121,75.0,98.0,18,29
Deaths,2023-01-21,65-79,5.0,0.0,0.0,0.0,0.0,40373,43379.0,171682.0,2,0.0,0.0,65,79
Hospitalizations,2023-02-18,80+,32.4,79.1,59.4,0.4,0.5,24700,11377.0,47122.0,8,9.0,28.0,80,200
Cases,2023-05-27,18-29,22.7,9.8,11.8,2.3,1.9,74841,214134.0,161693.0,17,21.0,19.0,18,29
Hospitalizations,2021-07-17,All,4.4,0.4,0.0,11.0,0.0,1181533,1367281.0,0.0,52,6.0,0.0,999,999
Cases,2022-12-24,50-64,493.5,119.6,187.6,4.1,2.6,35058,125409.0,246789.0,173,150.0,463.0,50,64
Deaths,2021-09-04,30-49,2.5,0.0,0.0,0.0,0.0,237570,516114.0,0.0,6,0.0,0.0,30,49
Cases,2023-03-25,18-29,69.5,32.7,45.2,2.1,1.5,76243,213785.0,161673.0,53,70.0,73.0,18,29
Cases,2022-10-29,80+,122.4,211.1,165.7,0.6,0.7,25326,11370.0,47077.0,31,24.0,78.0,80,200
Deaths,2022-08-20,All,0.8,0.2,0.5,4.0,1.6,608684,846709.0,1022491.0,5,2.0,5.0,999,999
Deaths,2023-03-18,All,0.2,0.3,0.2,0.7,1.0,542688,858373.0,1040492.0,1,3.0,2.0,999,999
Hospitalizations,2023-03-04,30-49,5.4,2.5,3.5,2.2,1.5,110600,277895.0,347260.0,6,7.0,12.0,30,49
Hospitalizations,2021-06-05,50-64,25.5,0.4,0.0,63.8,0.0,121592,270415.0,0.0,31,1.0,0.0,50,64
Deaths,2021-04-17,30-49,0.7,0.0,0.0,0.0,0.0,419282,148748.0,0.0,3,0.0,0.0,30,49
Deaths,2022-09-03,All,0.5,0.1,0.4,5.0,1.2,604544,842367.0,1030965.0,3,1.0,4.0,999,999
Deaths,2022-08-27,30-49,0.0,0.0,0.0,0.0,0.0,125403,276779.0,345420.0,0,0.0,0.0,30,49
Cases,2023-05-06,30-49,52.3,22.3,27.1,2.3,1.9,109056,278396.0,347295.0,57,62.0,94.0,30,49
Deaths,2023-10-07,18-29,0.0,0.0,0.0,0.0,0.0,71968,214276.0,161803.0,0,0.0,0.0,18,29
Hospitalizations,2021-10-09,65-79,34.1,8.9,0.0,3.8,0.0,61521,191460.0,0.0,21,17.0,0.0,65,79
Deaths,2022-03-26,30-49,0.0,0.0,0.0,0.0,0.0,133230,291909.0,322847.0,0,0.0,0.0,30,49
Deaths,2023-03-25,30-49,0.0,0.0,0.3,0.0,0.0,110064,278072.0,347275.0,0,0.0,1.0,30,49
Deaths,2021-06-05,80+,8.7,0.0,0.0,0.0,0.0,34448,49247.0,0.0,3,0.0,0.0,80,200
Deaths,2022-04-16,All,0.5,0.0,0.1,0.0,5.0,653769,896402.0,943061.0,3,0.0,1.0,999,999
Cases,2021-10-16,65-79,111.7,41.5,0.0,2.7,0.0,60852,182996.0,0.0,68,76.0,0.0,65,79
Hospitalizations,2022-09-03,18-29,7.7,1.4,1.2,5.5,6.4,90904,211667.0,160838.0,7,3.0,2.0,18,29
Cases,2023-08-26,65-79,86.8,43.8,68.1,2.0,1.3,39187,43414.0,171755.0,34,19.0,117.0,65,79
Deaths,2023-10-14,18-29,0.0,0.0,0.0,0.0,0.0,71300,214478.0,161898.0,0,0.0,0.0,18,29
Deaths,2023-11-18,65-79,0.0,0.0,0.0,0.0,0.0,37394,44197.0,172519.0,0,0.0,0.0,65,79
Deaths,2022-07-02,30-49,0.0,0.4,0.0,0.0,0.0,127872,280840.0,339580.0,0,1.0,0.0,30,49
Cases,2021-06-12,65-79,33.2,9.9,0.0,3.4,0.0,75414,181840.0,0.0,25,18.0,0.0,65,79
Hospitalizations,2023-08-05,80+,12.3,43.9,14.9,0.3,0.8,24475,11382.0,47131.0,3,5.0,7.0,80,200
Deaths,2023-05-20,50-64,0.0,0.0,0.0,0.0,0.0,32964,125743.0,246910.0,0,0.0,0.0,50,64
Cases,2021-11-20,18-29,289.3,104.3,56.8,2.8,5.1,157265,308782.0,19377.0,455,322.0,11.0,18,29
Deaths,2022-01-22,80+,199.5,125.9,15.4,1.6,13.0,27573,17479.0,39032.0,55,22.0,6.0,80,200
Deaths,2023-05-06,65-79,0.0,0.0,0.0,0.0,0.0,39631,43437.0,171727.0,0,0.0,0.0,65,79
Cases,2023-01-28,65-79,106.7,103.7,102.5,1.0,1.0,40317,43381.0,171689.0,43,45.0,176.0,65,79
Deaths,2022-04-02,All,0.0,0.2,0.0,0.0,0.0,657870,901409.0,932489.0,0,2.0,0.0,999,999
Cases,2022-05-28,30-49,351.7,194.8,397.2,1.8,0.9,129368,283855.0,335115.0,455,553.0,1331.0,30,49
Deaths,2023-11-11,65-79,2.7,0.0,0.0,0.0,0.0,37622,44141.0,172402.0,1,0.0,0.0,65,79
Cases,2022-12-03,50-64,481.0,155.6,189.7,3.1,2.5,35761,125353.0,246742.0,172,195.0,468.0,50,64
Deaths,2022-04-30,18-29,0.0,0.0,0.0,0.0,0.0,96979,218010.0,150062.0,0,0.0,0.0,18,29
Cases,2021-08-07,65-79,102.2,42.0,0.0,2.4,0.0,68485,192863.0,0.0,70,81.0,0.0,65,79
Hospitalizations,2021-05-29,18-29,6.9,0.0,0.0,0.0,0.0,246752,207387.0,0.0,17,0.0,0.0,18,29
Hospitalizations,2022-10-22,80+,27.5,52.8,42.5,0.5,0.6,25467,11367.0,47073.0,7,6.0,20.0,80,200
Deaths,2022-03-19,30-49,0.0,0.0,0.0,0.0,0.0,133820,292802.0,320838.0,0,0.0,0.0,30,49
Deaths,2021-10-02,18-29,0.0,0.0,0.0,0.0,0.0,175617,307962.0,0.0,0,0.0,0.0,18,29
Hospitalizations,2022-07-23,All,15.0,9.2,10.4,1.6,1.4,620290,856799.0,1004817.0,93,79.0,105.0,999,999
Hospitalizations,2023-10-07,65-79,20.7,9.2,11.1,2.2,1.9,38643,43457.0,171823.0,8,4.0,19.0,65,79
Hospitalizations,2022-03-05,All,4.2,2.9,1.4,1.4,3.0,668131,908622.0,900419.0,28,26.0,13.0,999,999
Deaths,2022-06-18,18-29,0.0,0.0,0.0,0.0,0.0,94340,215224.0,154755.0,0,0.0,0.0,18,29
Deaths,2021-07-03,30-49,1.1,0.0,0.0,0.0,0.0,284806,473790.0,0.0,3,0.0,0.0,30,49
Deaths,2022-06-25,50-64,0.0,0.0,0.4,0.0,0.0,42094,130098.0,239606.0,0,0.0,1.0,50,64
Hospitalizations,2023-04-01,18-29,5.3,0.9,2.5,5.9,2.1,76086,213847.0,161677.0,4,2.0,4.0,18,29
Hospitalizations,2022-07-30,All,14.1,7.1,10.4,2.0,1.4,617241,853308.0,1009629.0,87,61.0,105.0,999,999
Cases,2021-04-03,50-64,224.4,22.6,0.0,9.9,0.0,234356,66383.0,0.0,526,15.0,0.0,50,64
Deaths,2022-09-17,80+,3.8,0.0,4.3,0.0,0.9,26096,11381.0,47028.0,1,0.0,2.0,80,200
Hospitalizations,2023-01-14,All,13.2,6.1,10.2,2.2,1.3,552001,854759.0,1040217.0,73,52.0,106.0,999,999
Hospitalizations,2023-02-11,65-79,27.4,27.7,19.8,1.0,1.4,40183,43393.0,171693.0,11,12.0,34.0,65,79
Deaths,2021-07-17,All,0.5,0.0,0.0,0.0,0.0,1181533,1367281.0,0.0,6,0.0,0.0,999,999
Deaths,2022-01-15,18-29,0.0,0.4,0.0,0.0,0.0,121679,248007.0,93335.0,0,1.0,0.0,18,29
Deaths,2022-04-02,50-64,0.0,0.7,0.0,0.0,0.0,45178,138856.0,227154.0,0,1.0,0.0,50,64
Cases,2021-09-25,65-79,107.5,48.6,0.0,2.2,0.0,63251,193577.0,0.0,68,94.0,0.0,65,79
Deaths,2023-05-20,18-29,0.0,0.0,0.0,0.0,0.0,75004,214136.0,161691.0,0,0.0,0.0,18,29
Deaths,2022-07-09,30-49,0.0,0.0,0.0,0.0,0.0,127602,280376.0,340282.0,0,0.0,0.0,30,49
Cases,2023-03-04,18-29,136.7,43.5,60.0,3.1,2.3,76784,213571.0,161659.0,105,93.0,97.0,18,29
Cases,2023-07-01,30-49,13.9,6.8,8.3,2.0,1.7,107930,278403.0,347308.0,15,19.0,29.0,30,49
Deaths,2023-10-14,65-79,0.0,0.0,0.6,0.0,0.0,38416,43494.0,171905.0,0,0.0,1.0,65,79
Cases,2023-05-27,50-64,36.5,15.1,19.4,2.4,1.9,32906,125743.0,246912.0,12,19.0,48.0,50,64
Hospitalizations,2023-10-28,All,4.1,1.4,3.7,2.9,1.1,514722,862266.0,1043533.0,21,12.0,39.0,999,999
Hospitalizations,2021-07-17,50-64,7.6,0.6,0.0,12.7,0.0,105017,308063.0,0.0,8,2.0,0.0,50,64
Hospitalizations,2022-06-18,50-64,37.8,5.4,6.3,7.0,6.0,42287,130631.0,238855.0,16,7.0,15.0,50,64
Cases,2022-02-19,30-49,111.7,50.8,82.0,2.2,1.4,137833,299049.0,303628.0,154,152.0,249.0,30,49
Cases,2023-11-04,80+,37.4,77.9,95.2,0.5,0.4,24080,11553.0,47261.0,9,9.0,45.0,80,200
Deaths,2023-10-28,80+,4.1,17.4,0.0,0.2,0.0,24124,11521.0,47222.0,1,2.0,0.0,80,200
Hospitalizations,2023-10-28,80+,16.6,34.7,21.2,0.5,0.8,24124,11521.0,47222.0,4,4.0,10.0,80,200
Deaths,2021-09-11,50-64,10.6,0.3,0.0,35.3,0.0,84837,325536.0,0.0,9,1.0,0.0,50,64
Hospitalizations,2022-01-22,18-29,31.0,6.3,1.9,4.9,16.3,116024,239720.0,103823.0,36,15.0,2.0,18,29
Deaths,2023-10-28,65-79,0.0,0.0,0.6,0.0,0.0,37995,43884.0,172161.0,0,0.0,1.0,65,79
Hospitalizations,2022-11-12,All,15.4,4.5,9.0,3.4,1.7,570386,848167.0,1039564.0,88,38.0,94.0,999,999
Deaths,2023-08-19,50-64,0.0,0.0,0.0,0.0,0.0,32398,125726.0,246936.0,0,0.0,0.0,50,64
Deaths,2023-09-23,18-29,0.0,0.0,0.0,0.0,0.0,72891,214123.0,161728.0,0,0.0,0.0,18,29
Deaths,2022-10-15,All,1.0,0.0,0.1,0.0,10.0,584290,844343.0,1038311.0,6,0.0,1.0,999,999
Deaths,2021-06-05,18-29,0.0,0.0,0.0,0.0,0.0,241512,225206.0,0.0,0,0.0,0.0,18,29
Hospitalizations,2023-01-07,All,18.1,6.4,12.7,2.8,1.4,553739,854331.0,1040190.0,100,55.0,132.0,999,999
Deaths,2022-01-08,65-79,73.6,28.5,3.0,2.6,24.5,51599,73634.0,133598.0,38,21.0,4.0,65,79
Cases,2023-04-29,80+,28.5,43.9,74.3,0.6,0.4,24593,11384.0,47127.0,7,5.0,35.0,80,200
Cases,2021-07-10,65-79,13.9,6.3,0.0,2.2,0.0,71806,189097.0,0.0,10,12.0,0.0,65,79
Hospitalizations,2022-03-12,80+,14.7,13.9,11.7,1.1,1.3,27140,14363.0,42701.0,4,2.0,5.0,80,200
Cases,2022-05-07,50-64,308.0,134.5,265.4,2.3,1.2,43830,134524.0,233206.0,135,181.0,619.0,50,64
Hospitalizations,2023-05-20,30-49,3.7,0.4,0.3,9.2,12.3,108712,278401.0,347297.0,4,1.0,1.0,30,49
Hospitalizations,2023-05-13,50-64,3.0,3.2,3.6,0.9,0.8,33018,125743.0,246910.0,1,4.0,9.0,50,64
Hospitalizations,2022-10-22,30-49,8.4,2.5,3.2,3.4,2.6,119057,276343.0,347017.0,10,7.0,11.0,30,49
Deaths,2023-03-18,50-64,0.0,0.8,0.0,0.0,0.0,33625,125634.0,246883.0,0,1.0,0.0,50,64
Cases,2021-08-21,65-79,134.9,54.6,0.0,2.5,0.0,66724,194251.0,0.0,90,106.0,0.0,65,79
Cases,2021-04-10,18-29,336.3,45.8,0.0,7.3,0.0,353270,54598.0,0.0,1188,25.0,0.0,18,29
Cases,2022-10-15,30-49,137.5,52.5,81.0,2.6,1.7,119967,276252.0,346982.0,165,145.0,281.0,30,49
Hospitalizations,2023-10-07,50-64,6.3,1.6,2.8,3.9,2.2,31672,125732.0,247019.0,2,2.0,7.0,50,64
Cases,2021-05-22,18-29,138.4,9.3,0.0,14.9,0.0,254347,182708.0,0.0,352,17.0,0.0,18,29
Cases,2021-07-24,18-29,116.2,41.7,0.0,2.8,0.0,215115,275913.0,0.0,250,115.0,0.0,18,29
Hospitalizations,2023-03-11,All,9.0,3.7,7.2,2.4,1.2,543537,858035.0,1040472.0,49,32.0,75.0,999,999
Deaths,2022-09-03,50-64,0.0,0.8,0.4,0.0,0.0,40251,125600.0,245831.0,0,1.0,1.0,50,64
Cases,2022-07-23,50-64,547.6,196.2,278.9,2.8,2.0,41269,128418.0,242018.0,226,252.0,675.0,50,64
Deaths,2022-06-25,18-29,0.0,0.0,0.0,0.0,0.0,94060,214919.0,155323.0,0,0.0,0.0,18,29
Cases,2023-06-10,50-64,36.6,6.4,13.4,5.7,2.7,32808,125744.0,246916.0,12,8.0,33.0,50,64
Hospitalizations,2021-07-24,All,6.3,1.1,0.0,5.7,0.0,1165954,1383641.0,0.0,73,15.0,0.0,999,999
Deaths,2022-09-17,All,0.3,0.0,0.3,0.0,1.0,599179,840837.0,1035714.0,2,0.0,3.0,999,999
Cases,2023-08-19,65-79,53.6,50.7,61.7,1.1,0.9,39214,43417.0,171752.0,21,22.0,106.0,65,79
Deaths,2021-07-24,All,0.7,0.0,0.0,0.0,0.0,1165954,1383641.0,0.0,8,0.0,0.0,999,999
Hospitalizations,2023-10-28,50-64,13.0,2.4,3.2,5.4,4.1,30857,125795.0,247425.0,4,3.0,8.0,50,64
Cases,2022-07-09,80+,117.3,248.2,219.4,0.5,0.5,26425,12088.0,46042.0,31,30.0,101.0,80,200
Deaths,2022-09-10,80+,15.3,8.8,2.1,1.7,7.3,26174,11409.0,46990.0,4,1.0,1.0,80,200
Cases,2021-05-08,65-79,118.8,13.1,0.0,9.1,0.0,84155,160587.0,0.0,100,21.0,0.0,65,79
Hospitalizations,2022-11-26,50-64,30.5,5.6,8.5,5.4,3.6,36067,125335.0,246724.0,11,7.0,21.0,50,64
Cases,2021-12-18,65-79,405.7,300.5,112.7,1.4,3.6,53484,94857.0,110903.0,217,285.0,125.0,65,79
Hospitalizations,2021-11-06,18-29,8.6,0.6,0.0,14.3,0.0,162718,313731.0,10229.0,14,2.0,0.0,18,29
Cases,2022-02-12,All,160.8,85.1,96.5,1.9,1.7,684647,914673.0,848563.0,1101,778.0,819.0,999,999
Deaths,2022-10-01,50-64,0.0,0.0,0.0,0.0,0.0,39014,125154.0,246575.0,0,0.0,0.0,50,64
Hospitalizations,2022-01-08,80+,546.5,549.0,102.6,1.0,5.3,27814,19309.0,37045.0,152,106.0,38.0,80,200
Cases,2023-06-17,All,12.9,5.5,10.8,2.3,1.2,533523,860344.0,1040706.0,69,47.0,112.0,999,999
Cases,2021-05-15,All,125.4,12.3,0.0,10.2,0.0,1387913,925369.0,0.0,1740,114.0,0.0,999,999
Deaths,2023-06-10,80+,0.0,0.0,0.0,0.0,0.0,24522,11383.0,47130.0,0,0.0,0.0,80,200
Cases,2022-05-21,30-49,339.9,193.9,443.1,1.8,0.8,129750,284685.0,334000.0,441,552.0,1480.0,30,49
Hospitalizations,2021-04-24,18-29,9.3,1.2,0.0,7.8,0.0,301150,85550.0,0.0,28,1.0,0.0,18,29
Deaths,2021-09-04,All,2.5,0.5,0.0,5.0,0.0,1059836,1462025.0,0.0,27,7.0,0.0,999,999
Hospitalizations,2023-10-21,50-64,9.6,4.0,4.0,2.4,2.4,31095,125782.0,247254.0,3,5.0,10.0,50,64
Hospitalizations,2023-03-18,All,5.3,2.6,5.1,2.0,1.0,542688,858373.0,1040492.0,29,22.0,53.0,999,999
Hospitalizations,2021-09-25,50-64,37.1,2.4,0.0,15.5,0.0,80946,328443.0,0.0,30,8.0,0.0,50,64
Cases,2023-01-21,80+,92.9,123.1,144.3,0.8,0.6,24751,11374.0,47117.0,23,14.0,68.0,80,200
Cases,2023-03-11,18-29,121.4,38.4,51.3,3.2,2.4,76587,213618.0,161667.0,93,82.0,83.0,18,29
Hospitalizations,2023-03-25,18-29,2.6,0.9,1.2,2.9,2.2,76243,213785.0,161673.0,2,2.0,2.0,18,29
Deaths,2023-08-19,All,0.0,0.1,0.2,0.0,0.0,528293,860304.0,1040794.0,0,1.0,2.0,999,999
Hospitalizations,2021-11-20,50-64,69.6,5.7,0.0,12.2,0.0,67514,297169.0,49704.0,47,17.0,0.0,50,64
Deaths,2022-10-22,50-64,0.0,0.8,0.0,0.0,0.0,37697,125220.0,246635.0,0,1.0,0.0,50,64
Deaths,2022-03-26,50-64,2.2,0.0,0.0,0.0,0.0,45447,140025.0,225645.0,1,0.0,0.0,50,64
Deaths,2022-01-15,80+,119.2,158.4,26.2,0.8,4.5,27679,18306.0,38129.0,33,29.0,10.0,80,200
Deaths,2021-05-29,30-49,1.3,0.0,0.0,0.0,0.0,314424,398788.0,0.0,4,0.0,0.0,30,49
Cases,2023-12-02,30-49,118.6,42.6,53.2,2.8,2.2,99511,279418.0,349413.0,118,119.0,186.0,30,49
Hospitalizations,2023-01-14,50-64,37.7,10.4,7.7,3.6,4.9,34510,125451.0,246827.0,13,13.0,19.0,50,64
Hospitalizations,2022-12-17,30-49,14.9,3.6,4.0,4.1,3.7,113869,277097.0,347151.0,17,10.0,14.0,30,49
Cases,2023-07-01,65-79,25.4,2.3,14.0,11.0,1.8,39376,43427.0,171741.0,10,1.0,24.0,65,79
Deaths,2022-02-12,50-64,6.3,3.9,1.0,1.6,6.3,47848,152527.0,208125.0,3,6.0,2.0,50,64
Cases,2021-10-09,30-49,185.9,61.4,0.0,3.0,0.0,214640,537114.0,0.0,399,330.0,0.0,30,49
Hospitalizations,2023-09-23,65-79,30.7,16.1,10.5,1.9,2.9,39028,43414.0,171758.0,12,7.0,18.0,65,79
Cases,2023-11-11,30-49,73.3,30.1,42.4,2.4,1.7,100910,279296.0,348677.0,74,84.0,148.0,30,49
Cases,2023-04-15,80+,77.2,96.6,129.4,0.8,0.6,24612,11385.0,47126.0,19,11.0,61.0,80,200
Hospitalizations,2023-02-04,65-79,22.4,20.7,12.8,1.1,1.8,40248,43385.0,171692.0,9,9.0,22.0,65,79
